"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"17.11.2023","462,570","462,110","463,990","461,350","","0,10%"
"16.11.2023","462,125","462,810","463,360","461,050","","-0,15%"
"15.11.2023","462,810","463,710","463,710","459,550","","-0,28%"
"14.11.2023","464,105","465,760","466,010","462,600","","-0,17%"
"13.11.2023","464,890","467,560","467,760","465,070","","-0,45%"
"10.11.2023","466,990","468,610","469,110","467,120","","-0,23%"
"09.11.2023","468,090","468,550","469,190","467,260","","0,11%"
"08.11.2023","467,590","465,450","468,590","464,210","","1,03%"
"07.11.2023","462,840","463,610","466,140","463,090","","0,25%"
"06.11.2023","461,700","464,860","464,985","461,875","","-0,57%"
"03.11.2023","464,340","466,860","467,525","464,010","","-0,43%"
"02.11.2023","466,340","469,610","469,985","466,260","","-0,43%"
"01.11.2023","468,340","468,860","471,200","468,520","","0,01%"
"31.10.2023","468,290","471,610","471,735","468,445","","-0,29%"
"30.10.2023","469,640","470,860","472,690","469,910","","-0,15%"
"27.10.2023","470,340","474,510","474,760","467,990","","-0,75%"
"26.10.2023","473,890","477,110","477,750","474,145","","-0,24%"
"24.10.2023","475,040","477,860","478,015","475,170","","-0,30%"
"23.10.2023","476,480","479,560","480,210","476,615","","-0,38%"
"20.10.2023","478,290","479,550","479,940","478,445","","-0,25%"
"19.10.2023","479,500","479,160","480,340","478,220","","0,53%"
"18.10.2023","476,980","478,110","479,210","477,290","","0,12%"
"17.10.2023","476,390","477,110","478,880","476,495","","0,22%"
"16.10.2023","475,340","476,960","477,460","475,610","","-0,23%"
"13.10.2023","476,440","476,360","477,915","475,610","","0,30%"
"12.10.2023","475,000","477,360","477,485","475,050","","-0,39%"
"11.10.2023","476,840","477,360","477,960","475,860","","0,00%"
"10.10.2023","476,840","478,810","478,935","476,375","","0,21%"
"09.10.2023","475,840","477,710","478,830","476,045","","-0,28%"
"06.10.2023","477,190","478,210","480,135","477,050","","-0,10%"
"05.10.2023","477,690","477,210","478,635","476,845","","0,10%"
"04.10.2023","477,200","477,110","478,560","475,370","","0,18%"
"03.10.2023","476,340","477,710","480,610","475,695","","-0,16%"
"02.10.2023","477,090","477,910","481,060","474,510","","-0,06%"
"29.09.2023","477,390","474,510","478,295","473,065","","0,72%"
"28.09.2023","473,990","479,010","483,145","472,470","","-0,94%"
"27.09.2023","478,490","479,110","486,210","477,985","","-0,15%"
"26.09.2023","479,200","473,600","479,715","473,570","","1,19%"
"25.09.2023","473,550","474,360","475,650","471,895","","0,01%"
"22.09.2023","473,500","477,360","477,610","473,260","","-0,75%"
"21.09.2023","477,090","473,560","478,230","473,125","","0,86%"
"20.09.2023","473,040","471,210","474,680","470,610","","0,50%"
"19.09.2023","470,690","473,000","473,555","469,475","","-0,48%"
"18.09.2023","472,950","468,410","473,630","467,635","","1,15%"
"15.09.2023","467,590","465,610","468,610","465,110","","0,72%"
"14.09.2023","464,230","465,860","467,440","464,290","","-0,29%"
"13.09.2023","465,600","463,310","466,620","461,680","","0,61%"
"12.09.2023","462,790","462,460","464,220","458,250","","0,17%"
"11.09.2023","462,000","464,360","466,210","460,510","","-0,40%"
"08.09.2023","463,840","465,810","467,810","463,995","","-0,32%"
"07.09.2023","465,340","463,610","465,980","463,100","","0,49%"
"06.09.2023","463,090","460,350","464,140","459,535","","0,63%"
"05.09.2023","460,190","458,610","461,150","457,800","","0,46%"
"04.09.2023","458,090","457,860","463,110","457,620","","0,16%"
"01.09.2023","457,340","458,360","458,735","454,595","","-0,11%"
"31.08.2023","457,840","462,610","462,610","457,490","","-0,92%"
"29.08.2023","462,090","463,810","464,155","459,980","","-0,26%"
"28.08.2023","463,290","465,100","466,170","462,400","","-0,17%"
"25.08.2023","464,090","459,610","464,815","457,745","","1,09%"
"24.08.2023","459,090","461,610","465,310","456,100","","-0,43%"
"23.08.2023","461,090","453,610","464,415","453,215","","1,77%"
"22.08.2023","453,090","454,610","455,110","452,375","","-0,22%"
"21.08.2023","454,090","454,310","455,110","450,105","","0,07%"
"18.08.2023","453,790","462,610","463,765","453,250","","-1,80%"
"17.08.2023","462,090","459,410","467,110","457,960","","0,70%"
"16.08.2023","458,890","452,110","460,250","451,095","","1,72%"
"15.08.2023","451,110","449,950","452,480","447,890","","0,34%"
"14.08.2023","449,580","446,605","450,450","446,330","","0,78%"
"11.08.2023","446,080","445,300","447,215","444,930","","0,29%"
"10.08.2023","444,780","446,100","446,155","444,615","","0,19%"
"09.08.2023","443,940","446,605","447,065","444,695","","-0,48%"
"08.08.2023","446,080","446,855","447,065","444,755","","-0,06%"
"07.08.2023","446,330","445,400","447,755","444,915","","0,33%"
"04.08.2023","444,880","445,150","446,265","444,405","","0,29%"
"03.08.2023","443,580","444,100","445,710","443,655","","0,00%"
"02.08.2023","443,580","444,600","445,425","441,975","","-0,11%"
"01.08.2023","444,080","444,600","446,425","443,475","","0,00%"
